incidentid,weaponcaliber,weapondetails,weapontype
19950927ALBLP,Unknown,,Handgun
19950929FLTAT,9mm,,Handgun
19951012SCBLB,.32 caliber,,Handgun
19951023FLLAC,.25 caliber,,Handgun
19951030VAJOR,.38 caliber,,Handgun
19951102FLBLM,,,No Data
19951115TNRIL,.22 caliber,,Rifle
19951128NYTHN,.25 caliber,,Handgun
19960102PAGIG,,,No Data
19960119DCWIW,,,No Data
19960126TNEAM,Unknown,,Handgun
19960202WAFRM,Unknown,Rifle and 2 handguns taken from father,Handgun
19960202WAFRM,Unknown,Rifle and 2 handguns taken from father,Handgun
19960202WAFRM,.30-30,Rifle and 2 handguns taken from father,Rifle
19960208CAMIM,.38 caliber,,Unknown
19960222GAJES,.38 caliber,,Handgun
19960229MOBES,9mm,,Handgun
19960311NCNON,9mm,,Handgun
19960319NVSWL,Pellet,,Other
19960411ALTAT,12 gauge,,Shotgun
19960415DCMCW,,,No Data
19960514UTBIT,.357 caliber,,Handgun
19960522CACOC,Unknown,,Handgun
19960604CAWEH,,,No Data
19960726CAJOL,9mm,,Handgun
19960925GADED,,,No Data
19961002PASMP,,,No Data
19961004CASTP,,,No Data
19961009ARJAS,,,No Data
19961014MOSUS,,,No Data
19961127CAHIS,Service Weapon,,Handgun
19970108NYCRN,Unknown,,Handgun
19970127FLCOW,.38 caliber,,Handgun
19970206MSWIJ,9mm,,Handgun
19970213NYMOB,.25 caliber,,Handgun
19970213NYSAB,Unknown,,Handgun
19970219AKBEB,12 gauge,,Shotgun
19970220FLFIJ,Unknown,,Handgun
19970221NVRAL,9mm,,Handgun
19970317MIPED,Unknown,,Handgun
19970403CAMAM,,,No Data
19970428CAJOL,Unknown,,Handgun
19970430NYCIN,,,No Data
19970513FLNOM,.38 caliber,,Handgun
19970520OHDUD,.38 caliber,,Handgun
19970624ALJEM,.38 caliber,,Handgun
19971001MSPEP,.30-30,,Rifle
19971005OKMOO,9mm,,Handgun
19971010INWAG,Unknown,,Handgun
19971014TXLAG,Unknown,,Handgun
19971015FLLIP,.38 caliber,,Shotgun
19971020CAMCO,,,No Data
19971022CAJON,9mm,,Handgun
19971107FLRIJ,Unknown,,Handgun
19971113CACRS,Unknown,,Handgun
19971201KYHEW,.22 caliber,"5 firearms from neighbor, 2 shotguns from father ",Multiple Unknown
19971201KYHEW,Unknown,"5 firearms from neighbor, 2 shotguns from father ",Shotgun
19971201KYHEW,Unknown,"5 firearms from neighbor, 2 shotguns from father ",Shotgun
19971215ARSTS,.22 caliber,,Rifle
19980212NJHOH,.38 caliber,,Handgun
19980225MIRER,.22 caliber,,Rifle
19980227VAMAF,.22 caliber,,Rifle
19980324ARWEJ,Unknown,,Multiple Unknown
19980325CAFED,.22 caliber,,Handgun
19980325MICOC,12 gauge,,Shotgun
19980330NCGRC,Unknown,,Handgun
19980331WIOAO,Unknown,,Rifle
19980423CACUL,,,No Data
19980424PAPAE,.25 caliber,,Handgun
19980428CAPHP,Unknown,,Handgun
19980428WIPAP,.22 caliber,,Handgun
19980501FLNOM,,,No Data
19980501NYPUB,.357 caliber,,Handgun
19980519TNLIF,.22 caliber,,Rifle
19980521CARIR,.38 caliber,,Handgun
19980521ORTHS,9mm,,Handgun
19980521ORTHS,.22 caliber,,Handgun
19980521ORTHS,.22 caliber,,Rifle
19980521WAONO,9mm,,Handgun
19980527CAWAP,,,No Data
19980529FLSTF,9mm,,Handgun
19980615VAARR,.32 caliber,,Handgun
19980911CAHEG,,,No Data
19980930FLLEL,Unknown,,Handgun
19980930FLNOM,,,No Data
19981103PAMAP,Unknown,,Rifle
19981130NYHAH,.25 caliber,,Handgun
19981203INERG,Unknown,,Handgun
19981211INBEI,.22 caliber,,Handgun
19990108GACEC,Unknown,,Handgun
19990114NYHAN,Unknown,,Handgun
19990121TXRIN,9mm,,Handgun
19990211ILOME,.45 caliber,,Handgun
19990211MSJEP,,,No Data
19990304ILNIS,.357 caliber,,Handgun
19990416IDNON,Unknown,,Shotgun
19990420COCOL,9mm,TECH 9 Mini,Handgun
19990420COCOL,9mm,Hi-Point 995 Carbine,Rifle
19990420COCOL,12 gauge,Pump Action,Shotgun
19990420COCOL,12 gauge,Double Barrel (sawed off),Shotgun
19990422GAMAA,Unknown,,Handgun
19990422LASCB,.22 caliber,,Handgun
19990520GAHEC,.357 caliber,".357 pistol, .22 rifle",Handgun
19990520GAHEC,.22 caliber,".357 pistol, .22 rifle",Rifle
19990825GAJAM,,,No Data
19990909CASAS,Unknown,,Handgun
19990927FLEGT,.22 caliber,,Unknown
19991004SDJOP,.25 caliber,,Handgun
19991011NVCLL,.357 caliber,,Handgun
19991021CASAP,Unknown,,Handgun
19991026PAMAP,,,No Data
19991026WVGUB,,,No Data
19991117TXDID,.22 caliber,,Rifle
19991119NMDED,.22 caliber,,Handgun
19991206OKFOF,9mm,,Handgun
20000110AKBAA,Unknown,,Handgun
20000113NMALA,.22 caliber,,Handgun
20000119FLRIN,.22 caliber,,Handgun
20000120NCERA,.27 caliber,,Rifle
20000126CAALM,.22 caliber,,Handgun
20000126NESOO,,,No Data
20000210PAPEY,Unknown,,Handgun
20000214ILDUC,Unknown,,Handgun
20000229MIBUF,.32 caliber,,Handgun
20000310GABES,,,No Data
20000323OHMCL,9mm,,Handgun
20000406OKHUH,.38 caliber,,Handgun
20000410AZLAT,.38 caliber,,Handgun
20000502COTHD,,,No Data
20000510AZCAS,Unknown,,Handgun
20000526FLLAL,.25 caliber,,Handgun
20000717WADIR,.22 caliber,,Handgun
20000726OHTIC,,,No Data
20000905OHBIB,,,No Data
20000907ILLOR,Unknown,,Handgun
20000918OHMOM,.38 caliber,,Handgun
20000926LACAN,.38 caliber,,Handgun
20001005MNMIM,,,No Data
20001024AZPIG,9mm,,Handgun
20001101TXNEC,9mm,,Handgun
20001201CAGRL,.38 caliber,,Handgun
20001201CAJUS,,,No Data
20001207CARIR,,,No Data
20001221FLNOM,,,No Data
20010103CABAS,.38 caliber,,Handgun
20010110CAHUO,Unknown,,Handgun
20010117MDLAB,.32 caliber,,Handgun
20010202MIOSD,,,No Data
20010302CAHOS,,,No Data
20010305CASAS,.22 caliber,,Handgun
20010306MDLAL,Unknown,,Handgun
20010307PABIW,.22 caliber,,Handgun
20010307WAKEC,Unknown,,Handgun
20010322CAGRE,Unknown,,Multiple Unknown
20010330INLEG,Unknown,,Handgun
20010402TXKLH,.22 caliber,,Handgun
20010410WAWAM,Unknown,,Rifle
20010420LAMOM,.38 caliber,,Handgun
20010425OHJOC,,,No Data
20010515TXENE,.357 caliber,,Handgun
20010607TXOUA,Service Weapon,,Handgun
20010730CABEL,Unknown,,Handgun
20010912KYLAC,.38 caliber,,Handgun
20010921MDLAB,Unknown,,Handgun
20011012UTTAT,Unknown,,Handgun
20011026CARER,.38 caliber,,Handgun
20011026MIBES,Unknown,,Handgun
20011112MICAC,Unknown,,Multiple Unknown
20011130TXFRF,.357 caliber,,Handgun
20020111MSRAJ,,,No Data
20020115NYMAN,.38 caliber,,Handgun
20020124PAOLO,Unknown,,Rifle
20020201TXBRB,.22 caliber,,Handgun
20020206CAGAL,Unknown,,Handgun
20020207ILROC,.38 caliber,,Handgun
20020322CAJOC,.22 caliber,,Handgun
20020406MDLEB,Service Weapon,,Handgun
20020426LAABN,9mm,,Handgun
20021004MTCMG,Unknown,,Handgun
20021004TXPAS,9mm,,Handgun
20021007MDBEB,.223 caliber,,Rifle
20021029NJLIJ,.38 caliber,,Handgun
20021107MOSTL,Unknown,,Handgun
20021115CAAML,,,No Data
20021115TXSCS,Unknown,,Shotgun
20021202MIOSD,9mm,,Handgun
20021212WAWIC,Unknown,,Rifle
20021216ILENC,Unknown,,Handgun
20030121KYWEO,Unknown,,Handgun
20030130OKJEJ,9mm,,Handgun
20030205CORAW,Unknown,,Handgun
20030318IACLG,.22 caliber,,Rifle
20030321MSNOM,Unknown,,Handgun
20030330CAROW,Unknown,,Handgun
20030401DCCAW,.22 caliber,,Handgun
20030414LAFAS,Unknown,,Handgun
20030414LAJON,Unknown,,Multiple Rifles
20030416TXGRA,,,No Data
20030424PARER,Unknown,,Multiple Handguns
20030513PAFOJ,,,No Data
20030910MSVIV,Unknown,,Handgun
20030917MACHB,Unknown,,Handgun
20030917MDOKE,.44 caliber,,Handgun
20030922WALES,9mm,,Handgun
20030924MNROC,.22 caliber,,Handgun
20030925NCBUL,9mm,,Handgun
20031001CARIS,12 gauge,,Shotgun
20031007OHKEA,.22 caliber,,Handgun
20031029LAMAM,Unknown,,Handgun
20031030DCANW,Unknown,,Handgun
20031108TXHIS,.38 caliber,,Handgun
20031113NCEAC,.25 caliber,,Handgun
20031202ILFEC,Unknown,,Handgun
20031204OKDOO,Unknown,,Handgun
20031205ILCAC,Unknown,,Handgun
20031217MDOLM,.38 caliber,,Handgun
20031222NJCOW,9mm,,Handgun
20031229FLABE,,,No Data
20040115CAPOP,.22 caliber,,Handgun
20040121NVFAH,Unknown,,Handgun
20040202DCBAW,.38 caliber,,Handgun
20040203TXYOH,.38 caliber,,Handgun
20040206LAFAS,Service Weapon,,Handgun
20040209NYCOE,12 gauge,,Shotgun
20040211PATMP,Unknown,,Multiple Unknown
20040213OHCOD,10mm,,Handgun
20040220LAGAS,Unknown,,Handgun
20040305CASAL,,,No Data
20040317WACRJ,.22 caliber,,Rifle
20040504TXKAH,,,No Data
20040507MDRAR,9mm,,Handgun
20040512CAEAM,Unknown,,Shotgun
20040524UTWES,.38 caliber,,Handgun
20040609CACAO,,,No Data
20040803ALHUB,.22 caliber,,Handgun
20040824TNHAM,Unknown,,Handgun
20040830ILPRM,Unknown,,Handgun
20040912LABON,.38 caliber,,Handgun
20040915INWIG,.38 caliber,,Handgun
20041002NEJEG,.357 caliber,,Handgun
20041007MANEN,Unknown,,Shotgun
20041012CALAS,Unknown,,Handgun
20041015CABIB,,,No Data
20041021MDTHB,Unknown,,Handgun
20041022CATYH,,,No Data
20041115ALPAB,Unknown,,Handgun
20041115INBRG,,,No Data
20041116SCBAB,.22 caliber,,Handgun
20041117FLAPA,9mm,,Handgun
20041119FLTEJ,Unknown,,Handgun
20041209WALAS,,,No Data
20041213LALAL,Unknown,,Handgun
20041231TXRIR,Unknown,,Handgun
20050105PAMUN,Unknown,,Handgun
20050126ILWOP,Unknown,,Handgun
20050204GAMCA,Unknown,,Handgun
20050208ILBOC,,,No Data
20050302TNSTD,.45 caliber,,Handgun
20050309TNMAN,Unknown,,Handgun
20050310TXZAD,Unknown,,Handgun
20050314OHLEC,.45 caliber,,Handgun
20050316PACAP,AK-47,,Rifle
20050317CALOL,Unknown,,Handgun
20050317LAOPA,Unknown,,Handgun
20050321MNRER,.40 caliber,,Handgun
20050321MNRER,12 gauge,,Shotgun
20050321NYNEB,.45 caliber,,Handgun
20050324TNFAM,Unknown,,Handgun
20050330TNEAM,Unknown,,Handgun
20050407TXCAC,.45 caliber,,Handgun
20050427LALER,.25 caliber,,Handgun
20050429OHDAC,,,No Data
20050514TXBER,9mm,,Handgun
20050517PAHIL,9mm,,Handgun
20050520ILLOM,Airsoft,,Other
20050524COACD,BB,,Other
20050524LABOS,.45 caliber,,Handgun
20050608NYARP,BB,,Other
20050612NJBAA,Unknown,,Handgun
20050718NJWEN,Unknown,,Handgun
20050816VICOE,,,No Data
20050817CAPLB,Unknown,,Handgun
20050819GAMOM,Unknown,,Handgun
20050825TNMAD,.38 caliber,,Handgun
20050901AKDIA,Unknown,,Handgun
20050902FLSOJ,Unknown,,Handgun
20050913ILHAC,.25 caliber,,Handgun
20050924MISAS,,,No Data
20051011MIFAF,12 gauge,,Shotgun
20051014NYSAN,Unknown,,Handgun
20051019CASAS,,,No Data
20051020MISAS,.38 caliber,,Handgun
20051027CABIF,,,No Data
20051028MDANA,Unknown,,Handgun
20051028NYFAF,Unknown,,Handgun
20051108TNCAJ,.22 caliber,,Handgun
20051115FLPAM,.25 caliber,,Handgun
20051116TXIRS,Service Weapon,,Handgun
20051205MABOR,Unknown,,Handgun
20051206CASAG,Unknown,,Handgun
20051206MICED,Unknown,,Handgun
20060103NJLIJ,Unknown,,Handgun
20060110DEMOW,Unknown,,Handgun
20060111WIMAM,,,No Data
20060113ALPIP,Unknown,,Handgun
20060113FLMIL,Unknown,,Rifle
20060113MIOSD,Unknown,,Handgun
20060118MTFRA,Airsoft,,Other
20060118TXPAA,.22 caliber,,Handgun
20060118VAINC,Unknown,,Handgun
20060119OHWIC,,,No Data
20060123CAWIV,Unknown,,Handgun
20060127TXLAG,Unknown,,Handgun
20060130MTCMG,Unknown,,Handgun
20060203CALOC,.22 caliber,,Handgun
20060209DEWIN,Unknown,,Handgun
20060215PAWEY,.38 caliber,,Handgun
20060221PAWEP,AK-47,,Rifle
20060223ORROR,Unknown,,Handgun
20060310NYISN,BB,,Other
20060314NVPIR,.38 caliber,,Handgun
20060405DCROW,,,No Data
20060418TXWEH,Unknown,,Handgun
20060424NCEAC,Unknown,,Shotgun
20060505FLPAM,Unknown,,Handgun
20060522SCBUI,.40 caliber,,Handgun
20060525PANON,.22 caliber,,Rifle
20060605CAVEL,.38 caliber,,Handgun
20060606INWIG,Unknown,,Handgun
20060615MIPED,Unknown,,Handgun
20060731FLYOT,Unknown,,Handgun
20060815KYJTV,Unknown,,Handgun
20060817TXMEA,Unknown,,Handgun
20060819OHSOY,9mm,,Handgun
20060820GALYH,Unknown,,Handgun
20060821INCAN,Unknown,,Handgun
20060824VTESE,.45 caliber,,Handgun
20060829DCANW,Unknown,,Handgun
20060830NCORH,Unknown,,Multiple Unknown
20060831ALOXO,Unknown,,Handgun
20060905TNKIM,Unknown,,Handgun
20060908TXSOF,Service Weapon,,Handgun
20060913MOWEC,Service Weapon,,Handgun
20060921DCCAW,Unknown,,Handgun
20060927COPLB,Unknown,,Multiple Handguns
20060929WIWEC,Unknown,,Multiple Unknown
20061002PAWEN,Unknown,,Multiple Unknown
20061009MOMEJ,7.26mm,,Rifle
20061010NYPOP,BB,,Other
20061012MDGRB,.22 caliber,,Handgun
20061017TXSEK,,,No Data
20061031TNHAK,.22 caliber,,Handgun
20061111CALIO,Unknown,,Handgun
20061122GASAA,Unknown,,Handgun
20061201NCJOT,9mm,,Handgun
20061207NENOO,Unknown,,Handgun
20061211ILCLC,Unknown,,Handgun
20061212PASPS,AK-47,,Rifle
20061213PABAB,Pellet,,Other
20061214PAMCC,.22 caliber,,Rifle
20070102NCWEF,Unknown,,Handgun
20070103WAHET,9mm,,Handgun
20070104MINOD,,,No Data
20070108OHROC,Unknown,,Multiple Handguns
20070109CAGRV,,,No Data
20070109NVWEL,Unknown,,Handgun
20070118PAWIP,Unknown,,Handgun
20070124TNHAS,.25 caliber,,Handgun
20070131ILHIC,Unknown,,Handgun
20070207FLPAJ,Unknown,,Handgun
20070208ORCRP,Unknown,,Handgun
20070208TXSTP,BB,,Other
20070226CASLA,Airsoft,,Other
20070227GACLA,Airsoft,,Other
20070307CACEC,Unknown,,Handgun
20070307MIHEM,.44 caliber,,Handgun
20070307TXGRG,,,No Data
20070308TNEAC,Unknown,,Handgun
20070323FLUNO,Unknown,,Other
20070327CTSAH,Unknown,,Handgun
20070329SCMYM,Unknown,,Handgun
20070410ILCHC,Unknown,,Handgun
20070410ORSPG,.27 caliber,,Rifle
20070418NCNOH,Unknown,,Handgun
20070503OHGED,Pellet,,Other
20070504TXTIE,.38 caliber,,Handgun
20070510MIHED,,,No Data
20070512TXWEM,Unknown,,Shotgun
20070515TXLIL,.38 caliber,,Handgun
20070523RIOAC,BB,,Other
20070530NCVAG,Pellet,,Other
20070531NCNOG,Pellet,,Other
20070617SCBRB,Unknown,,Handgun
20070628TXDAD,Unknown,,Handgun
20070709ILCAC,,,No Data
20070804NJMON,.357 caliber,,Handgun
20070928CALAO,.22 caliber,,Handgun
20070930AZSSP,,,No Data
20071001CTPLM,BB,,Other
20071010OHSUC,Unknown,,Multiple Handguns
20071024TNMAM,Unknown,,Handgun
20071105LAJOR,Unknown,,Handgun
20071126NYHOH,Unknown,,Handgun
20071221CABAU,,,No Data
20080204TNHAM,.38 caliber,,Handgun
20080211TNMIM,.22 caliber,,Handgun
20080214CAEOO,.22 caliber,null,Handgun
20080306ALDAM,.38 caliber,,Handgun
20080416CAROF,Service Weapon,,Handgun
20080516LAMAT,,,No Data
20080811WAWAK,.25 caliber,,Handgun
20080814WALAF,Unknown,,Handgun
20080821TNCEK,.22 caliber,,Handgun
20080902OHSOW,.45 caliber,,Handgun
20080915CAMIS,.38 caliber,,Handgun
20080919CAGEA,,,No Data
20081016MIHED,,,No Data
20081020CAVAA,Unknown,,Handgun
20081023ALPRP,Unknown,,Handgun
20081029CAELG,Pellet,,Other
20081031MESTS,,,No Data
20081103CABEB,Unknown,,Handgun
20081103CAELO,BB,,Other
20081112FLDIF,.22 caliber,,Handgun
20081115COTHL,Unknown,,Handgun
20081115UTDES,.38 caliber,,Handgun
20081118CACEC,Unknown,,Handgun
20081118CACOO,Unknown,,Handgun
20081125TXNOH,,,No Data
20081130CAOAG,Unknown,,Handgun
20081202CAKIK,.22 caliber,,Handgun
20081205MNSHF,Unknown,,Handgun
20081212NCGUA,9mm,,Handgun
20081212NYWIM,9mm,,Handgun
20081221SCSUS,Unknown,,Handgun
20081222FLLAL,Unknown,,Handgun
20081227PAWIP,,,No Data
20081231GASHS,Unknown,,Shotgun
20081231OKKEN,,,No Data
20090108DEWIN,Service Weapon,,Handgun
20090109ILDUC,Unknown,,Handgun
20090114ILPEC,,,No Data
20090120ILCOC,Unknown,,Handgun
20090120MIBEM,Unknown,,Multiple Handguns
20090120PAEAE,Unknown,,Handgun
20090123ILCAC,Unknown,,Handgun
20090127NCCLC,Unknown,,Handgun
20090210CABAE,.22 caliber,,Handgun
20090211NCSCZ,.22 caliber,,Handgun
20090217MICED,Unknown,,Handgun
20090220CAJOH,Unknown,,Shotgun
20090223CTBRN,Unknown,,Handgun
20090302SDROS,Pellet,,Other
20090306NCWEF,,,No Data
20090310FLRIJ,Unknown,,Handgun
20090311TXCYH,Unknown,,Handgun
20090413CALOL,Unknown,,Handgun
20090501WISHS,,,No Data
20090505NYCAC,Unknown,,Shotgun
20090518LALAL,.25 caliber,,Handgun
20090615CAINS,Unknown,,Handgun
20090624IAAPP,.22 caliber ,,Handgun
20090827NCWEF,Unknown,,Handgun
20090908CTSTS,.22 caliber,,Handgun
20090916VAVIG,.40 caliber,,Handgun
20091008NYMAM,.22 caliber,,Rifle
20091016SCCAC,Service Weapon,,Handgun
20091030CAWIL,.25 caliber,,Shotgun
20091106PAHAW,.22 caliber,,Handgun
20091211LABOS,Unknown,,Handgun
20100120ALLIL,,,No Data
20100205ALDIM,.22 caliber,,Handgun
20100210TNINK,Unknown,,Handgun
20100223CODEL,.30-06,,Rifle
20100226WABIT,,,No Data
20100428VAWOP,Unknown,,Handgun
20100518CASOS,Unknown,,Handgun
20100830TNSUB,.38 caliber,,Handgun
20100908MIMUD,,,No Data
20100921SCSOC,Unknown,,Handgun
20101001CAALS,,,No Data
20101008CAKEC,.357 caliber,,Handgun
20101023KSTOT,Unknown,,Handgun
20101129WIMAM,Unknown,,Handgun
20101206COAUA,Unknown,,Handgun
20110104INCRC,BB,,Other
20110105NEMIO,.40 caliber,,Handgun
20110118CAGAL,Unknown,,Handgun
20110202CALOP,.357 caliber,,Handgun
20110325INMAM,9mm,,Handgun
20110330TXWOH,Unknown,,Handgun
20110413FLSHA,Unknown,,Handgun
20110419TXBEH,.38 caliber,,Handgun
20110517WAHOE,Unknown,,Handgun
20110523HIHIP,.45 caliber,,Handgun
20110923WAISS,Unknown,,Rifle
20110930NCGAC,Unknown,,Handgun
20110930ORWIP,.22 caliber,.22 pistol and double barreled shotgun,Handgun
20110930ORWIP,Double-barreled,.22 pistol and double barreled shotgun,Shotgun
20111024NCCAF,.22 caliber,,Rifle
20111212TXHAE,.308 caliber,,Rifle
20111228MINOF,Unknown,,Handgun
20120104TXCUB,Airsoft,,Handgun
20120110TXNOH,Unknown,,Handgun
20120210NHWAW,20 gauge,,Shotgun
20120222WAARB,.45 caliber,,Handgun
20120227OHCHC,.22 caliber,,Handgun
20120306FLEPJ,AK-47,,Rifle
20120315ALLEM,Unknown,,Handgun
20120401ARKIR,Unknown,,Handgun
20120525AZWEA,Unknown,,Handgun
20120525NCMAC,.44 caliber,,Handgun
20120706RINAP,,,No Data
20120816TNHAM,Unknown,,Unknown
20120824GABAH,Unknown,,Handgun
20120827MDPEP,12 gauge,,Shotgun
20120907ILNON,.22 caliber,,Handgun
20120926OKSTS,Unknown,,Handgun
20121012NDFAF,Unknown,,Handgun
20121019ILBAC,Unknown,,Unknown
20121210TXSPH,Unknown,,Handgun
20121214CTSAN,10mm,,Handgun
20121214CTSAN,9mm,,Handgun
20121214CTSAN,AR-15,,Rifle
20121214CTSAN,12 gauge,,Shotgun
20130107FLAPF,Unknown,,Unknown
20130110CATAT,12 gauge,,Shotgun
20130111MIOSD,Unknown,,Unknown
20130131GAPRA,Unknown,,Handgun
20130201MIMAD,Unknown,,Handgun
20130213CAHIS,Unknown,,Handgun
20130227GAGRA,.38 caliber,,Handgun
20130321MIDAS,.40 caliber,,Handgun
20130416TXTET,Unknown,,Handgun
20130429OHLAC,.45 caliber,,Handgun
20130430NMTUT,Unknown,,Rifle
20130513ALOSB,Unknown,,Handgun
20130523FLREH,.38 caliber,,Handgun
20130618NCHIC,Unknown,,Multiple Handguns
20130619FLALW,Unknown,,Handgun
20130815TNNOC,Unknown,,Handgun
20130820GAROD,AK-47,,Rifle
20130822TNWEM,Unknown,,Handgun
20130823MSNOS,Unknown,,Unknown
20130830NCCAW,.38 caliber,,Handgun
20130927ILROC,Unknown,,Handgun
20130928MENEG,Unknown,,Unknown
20131002NHWIS,Pellet,,Other
20131004FLAGP,Unknown,,Unknown
20131015TXLAA,Unknown,,Handgun
20131021NVSPS,9mm,,Handgun
20131023CANEC,Service Weapon,,Rifle
20131101IAALA,Unknown,,Unknown
20131103GASTL,Unknown,,Unknown
20131113PABRP,.22 caliber,,Handgun
20131204FLWEW,Unknown,,Handgun
20131213COARC,12 gauge,,Shotgun
20131219CAEDF,Unknown,,Handgun
20140109TNLIJ,Unknown,,Handgun
20140113CTHIN,Unknown,,Handgun
20140114LASTB,Unknown,,Handgun
20140114NMBER,20 gauge,,Shotgun
20140114PAKIL,Unknown,,Handgun
20140117PADEP,Unknown,,Handgun
20140127ILREC,Unknown,,Handgun
20140128HIPRH,Service Weapon,,Handgun
20140131AZCEP,Unknown,,Unknown
20140131IANOD,Unknown,,Unknown
20140207ORBEB,Unknown,,Rifle
20140210NCSAS,9mm,,Handgun
20140211OHCHL,Unknown,,Handgun
20140220MIRAR,.45 caliber,,Handgun
20140307LAMAT,Unknown,,Handgun
20140312FLACM,Unknown,,Handgun
20140325GABEC,Unknown,,Handgun
20140403NJUNN,,,No Data
20140409NCDHG,.45 caliber,,Handgun
20140410OHLIC,Unknown,,Handgun
20140411MIEAD,Unknown,,Unknown
20140421INSTG,,,No Data
20140421UTPRP,.22 caliber,,Handgun
20140503WAHOE,,,No Data
20140514CAJOR,Unknown,,Unknown
20140521WICLM,9mm,,Handgun
20140610ORRET,Unknown,"AR15, handgun",Handgun
20140610ORRET,AR-15,"AR15, handgun",Rifle
20140623MOKEB,Unknown,,Handgun
