incidentid,weaponcaliber,weapondetails,weapontype
20140813MDHEF,,,No Data
20140814VASAN,12 gauge,,Shotgun
20140909FLSTM,Unknown,2 firearms recovered,Multiple Unknown
20140910FLGRL,.40 caliber,,Handgun
20140911UTWET,9mm,,Handgun
20140919IANOD,Unknown,,Shotgun
20140925NHWEM,Pellet,,Other
20140930KYFEL,Unknown,,Handgun
20140930NCALA,Unknown,,Handgun
20141003GALAF,Unknown,,Handgun
20141021TNAMM,Unknown,,Handgun
20141024GALAA,Unknown,,Handgun
20141024WAMAM,.40 caliber,,Handgun
20141120FLMIM,Unknown,,Handgun
20141212ORROP,Unknown,,Handgun
20141216PASUP,,,No Data
20141217MEBEW,.38 caliber,,Handgun
20141217MIGOW,Unknown,,Handgun
20150115WIWIM,.38 caliber,,Handgun
20150116FLVAO,.40 caliber,,Handgun
20150120ALWIM,Unknown,,Handgun
20150122SCROH,Unknown,,Handgun
20150126MNHAR,Unknown,,Handgun
20150204MDFRF,Unknown,,Handgun
20150215ARLAL,,,No Data
20150215CATEM,Unknown,,Unknown
20150330MOPEU,,,No Data
20150417TXSES,,,No Data
20150422NVRUL,.45 caliber,,Handgun
20150427WANOL,.357 caliber,,Handgun
20150428MDDRW,Unknown,,Handgun
20150504OHWIC,,,No Data
20150505GACOC,Unknown,,Handgun
20150512AZCOT,Unknown,,Handgun
20150512FLUNJ,Unknown,,Handgun
20150520TXROR,Unknown,,No Data
20150524MISOF,,,No Data
20150527FLEVE,Unknown,,Handgun
20150604NCSOF,Unknown,,Multiple Handguns
20150623NEFOF,Unknown,,Handgun
20150627CTSAH,,,No Data
20150629TXJOS,Service Weapon,,Handgun
20150705TXCOD,Unknown,,Handgun
20150724TXELC,Unknown,,Handgun
20150808TXPAP,9mm,,Handgun
20150823TXWIR,.40 caliber,,Handgun
20150825GAWSA,.38 caliber,,Handgun
20150903ORNEN,,,No Data
20150911LANOL,,,No Data
20150922NCCES,.45 caliber,,Handgun
20150930SDHAH,Unknown,,Handgun
20151015TXKAS,Unknown,,Handgun
20151024TXEDS,,,No Data
20151105GAVEM,Service weapon,,Handgun
20151111ARSUS,Unknown,,Handgun
20151120FLNAM,Unknown,,Handgun
20151204KSWEW,Unknown,,Handgun
20160112DECED,.38 caliber,,Handgun
20160113ARHAB,Unknown,,Handgun
20160120INNOI,Unknown,,Handgun
20160122INLAI,Unknown,,Handgun
20160129PABEP,.45 caliber,,Handgun
20160209MIMUM,Unknown,,Handgun
20160212AZING,9mm,,Handgun
20160217FLROH,Unknown,,Handgun
20160217PACHC,Unknown,,Handgun
20160226TXPAP,Unknown,,Handgun
20160229OHMAM,9mm,,Handgun
20160315ALHUB,Unknown,,Handgun
20160423WIANA,Semiautomatic,,Rifle
20160502TXKID,.22 caliber,,Handgun
20160504COEAP,Unknown,,Handgun
20160505MDHIB,Unknown,,Handgun
20160506FLOSP,Unknown,,Handgun
20160506IDROT,Unknown,,Handgun
20160513SCSOG,Unknown,,Handgun
20160515KSAUA,.38 caliber,,Handgun
20160608MAJED,Unknown,,Unknown
20160616ILMCC,,,No Data
20160630CAWOH,,,No Data
20160725MOAVA,Unknown,,Handgun
20160817OHWEC,Unknown,,Handgun
20160819FLSOM,Unknown,,Handgun
20160902OKMCT,Unknown,,Handgun
20160907MIDED,,,No Data
20160908TXALA,9mm,,Handgun
20160909IACEC,Unknown,,Handgun
20160909PASMY,Unknown,,Handgun
20160926MSTAJ,Unknown,,Handgun
20160927OHELC,Unknown,,Rifle
20160928SCTOT,.40 caliber,,Handgun
20160930ILCHC,,,No Data
20161006TXDUF,,,No Data
20161011ALVIM,,,No Data
20161013OHLIC,Unknown,,Multiple Handguns
20161015GABEA,,,No Data
20161018CAJUS,Unknown,,Multiple Unknown
20161025UTUNS,Unknown,,Handgun
20161102COGRG,,,No Data
20161103COBEB,,,No Data
20161111MIBAA,.38 caliber,,Handgun
20161117MNCRS,.38 caliber,,Handgun
20161201UTMUB,12 gauge,,Shotgun
20161209MOBAS,Unknown,,Handgun
20161209NVHUR,Service Weapon,,Handgun
20170101DELAH,Unknown,,Handgun
20170110ALALA,Unknown,,Handgun
20170117FLFRE,,,No Data
20170120OHWEW,12 gauge,,Shotgun
20170127SCSOA,9mm,,Handgun
20170206LASCB,Unknown,,Handgun
20170218MNMAM,Unknown,,Handgun
20170316ALROM,.40 caliber,,Handgun
20170321CAKIK,Unknown,,Handgun
20170328PALIP,Unknown,,Handgun
20170410CANOS,.357 caliber,,Handgun
20170415OKBOT,,,No Data
20170515LAMOL,.38 caliber,,Handgun
20170523TXKEK,.38 caliber,,Handgun
20170524ALGRG,.22 caliber,,Handgun
20170524NEMCO,,,No Data
20170526OKMCT,Unknown,,Handgun
20170616ILWAC,Unknown,,Handgun
20170622SCWIF,Unknown,,Handgun
20170719WIHIM,Unknown,,Handgun
20170721UTSPS,.38 caliber,,Handgun
20170801GABAV,Unknown,,Handgun
20170817GALIL,,,No Data
20170831CAARS,Unknown,,Handgun
20170908ARNON,,,No Data
20170908OHCOC,.38 caliber,,Handgun
20170913WAFRR,.32 caliber,Handgun and AR15 rifle,Handgun
20170913WAFRR,AR-15,Handgun and AR15 rifle,Rifle
20170920ILMAM,.40 caliber,,Handgun
20170928KYSOL,,,No Data
20170929CASUL,BB,,Other
20170929MOLEL,,,No Data
20170930PAPUC,.38 caliber,,Handgun
20171012NCCHC,Unknown,,Handgun
20171014NCKEK,9mm,,Handgun
20171020OHSTT,Unknown,,Handgun
20171027NYPRU,,,No Data
20171103MIPAL,Unknown,,Handgun
20171109GABEC,Unknown,,Handgun
20171110GALAM,9mm,,Handgun
20171114CARAR,Unknown,2 Semi-automatic Rifles and 2 handguns,Handgun
20171114CARAR,Unknown,2 Semi-automatic Rifles and 2 handguns,Handgun
20171114CARAR,Semiautomatic,2 Semi-automatic Rifles and 2 handguns,Rifle
20171114CARAR,Semiautomatic,2 Semi-automatic Rifles and 2 handguns,Rifle
20171114FLLAM,Unknown,,Handgun
20171117TNNOJ,,,No Data
20171123COMAD,,,No Data
20171128CABOS,Unknown,,Shotgun
20171129OHBAL,Unknown,,Handgun
20171130VASAV,,,No Data
20171207NMAZA,9mm,,Handgun
20171209ILCHC,Unknown,,Handgun
20171211NCHIH,Unknown,,Handgun
20171212TXSAP,,,No Data
20171214TXELD,Unknown,,Handgun
20171219MIBEB,Unknown,,Handgun
20171227CALIL,Unknown,,Handgun
20171231LAEDA,Unknown,,Multiple Unknown
20171231WAPIM,,,No Data
20180104WANES,,,No Data
20180105IAFOF,Pellet,,Other
20180109AZCOS,Unknown,,Handgun
20180116VTMOM,Service Weapon,,Handgun
20180122LANEN,,,No Data
20180122TXITI,.38 caliber,,Handgun
20180123KYMAB,9mm,,Handgun
20180125ALMUM,.38 caliber,,Handgun
20180126MIDED,,,No Data
20180131PALIP,Unknown,3 different firearms discharged,Multiple Unknown
20180201CASAL,Unknown,,Handgun
20180205MDOXO,Unknown,,Handgun
20180205MNHAM,Service Weapon,,Handgun
20180208NYTHN,Unknown,,Handgun
20180209TNPEN,Unknown,,Handgun
20180214FLMAP,AR-15,,Rifle
20180215FLNOC,Service Weapon,,Handgun
20180220OHJAM,.22 caliber,,Rifle
20180226WAOAT,Unknown,,Handgun
20180228GADAD,.38 caliber,,Handgun
20180305MOKIC,,,No Data
20180307ALHUB,Unknown,,Handgun
20180309KYFRL,Unknown,,Handgun
20180313CASES,.45 caliber,,Handgun
20180313VAGEA,Unknown,,Handgun
20180316MTBIM,Service weapon,,Handgun
20180319VADOP,,,No Data
20180320MDGRG,9mm,,Handgun
20180328MSEUE,9mm,,Handgun
20180329KYJOE,Unknown,,Handgun
20180409NYGLG,BB,,Handgun
20180412MORAR,Unknown,,Handgun
20180419MIJAJ,Unknown,,Handgun
20180420FLFOO,Unknown,,Shotgun
20180423GABEA,Unknown,,Handgun
20180503SDENW,,,No Data
20180503TNWAW,,,No Data
20180505MIFOF,Unknown,,Handgun
20180511CAHIP,Semiautomatic,,Rifle
20180516ILDID,9mm,,Rifle
20180517MOCEK,Unknown,,Handgun
20180518GAMOA,Unknown,,Handgun
20180518TXSAS,.38 caliber,".38 pistol, shotgun",Handgun
20180518TXSAS,Unknown,".38 pistol, shotgun",Shotgun
20180521GABEG,,,No Data
20180525INNON,Unknown,2 handguns,Handgun
20180525INNON,Unknown,2 handguns,Handgun
20180601TXMCM,,,No Data
20180615OHVAB,,,No Data
20180617ORGRP,,,No Data
20180621TXSKD,,,No Data
20180624MTSEM,Unknown,,Handgun
20180625OHFUS,Unknown,,Handgun
20180701TNRAM,,,No Data
20180703KSSUO,Unknown,,Handgun
20180711OHMIM,,,No Data
20180717WVHUH,Unknown,,Handgun
20180719WAWEY,,,No Data
20180804MDEDE,,,No Data
20180809NJLAM,,,No Data
20180811TNANN,Unknown,,Handgun
20180817FLPAW,Unknown,,Handgun
20180823ALALM,Unknown,,Handgun
20180824FLRAJ,Unknown,,Handgun
20180824ILMEC,Unknown,,Multiple Unknown
20180828COCOD,Unknown,,Handgun
20180829DETOD,Unknown,,Unknown
20180830MIOTG,,,
20180830NCVIC,Unknown,,Handgun
20180831CABAS,Unknown,,Handgun
20180831IANOE,.22 caliber,,Handgun
20180903NYLUN,Unknown,,Handgun
20180905RIPRP,.357 caliber,,Handgun
20180907IAHED,,,No Data
20180909CAGIG,Unknown,,Handgun
20180910ILCHC,Unknown,,Handgun
20180910TNFAM,,,No Data
20180911NVCAL,Unknown,,Handgun
20180914FLBOB,Unknown,,Handgun
20180914WAMAE,Unknown,,Handgun
20180917ALBLH,Unknown,,Handgun
20180920CACHL,Unknown,,Handgun
20180920CAPOP,,,No Data
20180924GAAPB,Unknown,,Handgun
20180924NCLAC,Unknown,,Handgun
20180924PACEP,Unknown,,Handgun
20180926MDMAB,Unknown,,Handgun
20180927TXHEC,Unknown,,Handgun
20180928SDCHC,Unknown,,Handgun
20181002ARCHL,Unknown,,Handgun
20181003AKDEA,Unknown,,Handgun
20181004ORJAP,Unknown,,Handgun
20181005TNHAB,Unknown,,Handgun
20181005VALAN,Unknown,,Handgun
20181007VAVAH,Unknown,,Handgun
20181012MIBAB,,,No Data
20181013TNMCN,,,No Data
20181020GASHS,Unknown,,Handgun
20181022CTDUB,Unknown,,Handgun
20181023NHGOM,Pellet,,Other
20181025MICOD,,,No Data
20181029NCBUM,Unknown,,Handgun
20181104KYCRL,Unknown,,Handgun
20181105SCACC,BB,,Other
20181108CACLS,,,No Data
20181109GAGAM,Unknown,,Handgun
20181112MDEAE,Service Weapon,,Handgun
20181120VASIP,Unknown,,Handgun
20181121MIPEP,BB,,Other
20181122TXSKD,Unknown,,Handgun
20181122WAMOD,Unknown,,Handgun
20181124OHAFC,Unknown,,Handgun
20181128PASTP,,,No Data
20181210NYJEJ,Unknown,,Handgun
20181211KYCAC,Pellet,,Other
20181213INDER,.45 caliber,".223 rifle, .45 handgun",Handgun
20181213INDER,.223 caliber,".223 rifle, .45 handgun",Rifle
20181214MOWIK,Unknown,,Handgun
20181218DEAIG,Unknown,,Handgun
20190107CACEB,,,No Data
20190111ORCAE,Unknown,,Handgun
20190118ALCET,Unknown,,Handgun
20190118MOHAS,Unknown,,Handgun
20190118NCSHD,,,No Data
20190119KSLAO,Unknown,,Shotgun
20190123LASOS,,,No Data
20190125ALDAM,Unknown,,Handgun
20190125TNMAM,BB,,Other
20190130GAMIL,Unknown,,Handgun
20190131TNMAM,Pellet,,Other
20190131TXATA,Unknown,,Handgun
20190205MNMIM,Unknown,,Handgun
20190208MDFRB,Unknown,,Handgun
20190212MOCEK,Unknown,,Handgun
20190214NMV.R,Unknown,,Handgun
20190217COEAA,Unknown,,Handgun
20190226ALROM,Unknown,,Handgun
20190301KSHIM,Unknown,,Handgun
20190313FLLAO,Unknown,,Handgun
20190322ALBLB,Unknown,,Handgun
20190327MSSVH,Unknown,,Handgun
20190401ARPRP,Unknown,,Handgun
20190403COAUA,Unknown,,Handgun
20190403FLSAJ,,,No Data
20190405WISTM,Unknown,,Handgun
20190407MAHOL,,,No Data
20190410TXROH,Unknown,,Multiple Unknown
20190417ILWAL,Unknown,,Handgun
20190424ARCOC,Unknown,,Handgun
20190425GAWYS,BB,,Handgun
20190426GACRF,Unknown,,Handgun
20190430FLWEW,Service Weapon,,Handgun
20190430VACDW,Unknown,,Handgun
20190507COSTH,Unknown,,Multiple Handguns
20190508ILSEC,Unknown,,Handgun
20190517FLTEJ,Unknown,,Handgun
20190517ORPAP,Unknown,,Shotgun
20190530DCHEW,Unknown,,Handgun
20190606ILGEC,Unknown,,Handgun
20190610ILMEW,Unknown,,Handgun
20190612DCHEW,Unknown,,Handgun
20190612PAJEE,Unknown,,Handgun
20190613NJTAW,.45 caliber,,Handgun
20190621MICAF,Unknown,,Handgun
20190629COJAC,Unknown,,Handgun
20190701NYSCN,Unknown,,Handgun
20190702AKWIA,Unknown,,Handgun
20190711CTBUH,,,No Data
20190719CAMOS,BB,,Other
20190808ALBLM,Unknown,,Handgun
20190815TNEAN,9mm,,Handgun
20190817GALAA,Unknown,,Handgun
20190820PASAC,Service Weapon,,Handgun
20190823GAPEC,,,No Data
20190823MOPAS,Unknown,,Handgun
20190823MOROS,,,No Data
20190824PAWIP,Unknown,,Handgun
20190827CAHOL,,,No Data
20190827NYROR,Unknown,,Handgun
20190830ALLAM,Unknown,,Handgun
20190830NCKIK,Unknown,,Handgun
20190830OHCET,Unknown,,Handgun
20190902MDNOB,,,No Data
20190906ALCEC,,,No Data
20190906PAMCJ,Unknown,,Handgun
20190906PAWEM,,,No Data
20190910SCSOA,Unknown,,Handgun
20190912KSMAM,,,No Data
20190913UTGRW,Unknown,,Handgun
20190913VAETN,Unknown,,Handgun
20190914TXEAF,Unknown,,Handgun
20190916ILILK,,,No Data
20190916VAPHH,Unknown,,Handgun
20190920PASIP,Unknown,,Handgun
20190927NCZEC,Unknown,,Handgun
20191002GASOA,Unknown,,Handgun
20191008COSHS,Unknown,,Handgun
20191008TXWEH,,,No Data
20191009MAGRL,BB,,Other
20191011LARAR,Unknown,,Handgun
20191015LAGEN,Unknown,,Handgun
20191018GACRS,Unknown,,Handgun
20191018OHWOT,,,No Data
20191022CARIS,Unknown,,Handgun
20191027MDLAL,Unknown,,Handgun
20191029NYNEN,Unknown,,Handgun
20191108CAEDS,,,No Data
20191108TXROD,,,No Data
20191111MDACB,Unknown,,Handgun
20191113CAESL,Service Weapon,,Unknown
20191114CASAS,.45 caliber,,Handgun
20191115NJPLP,Unknown,,Handgun
20191121ILRIO,Pellet,,Other
20191124CASEU,Unknown,,Multiple Unknown
20191125ILCAC,Unknown,,Handgun
20191126WASAV,Unknown,,Handgun
20191201ALMOM,Unknown,,Handgun
20191202WIWAW,Unknown,,Handgun
20191203WIOSO,Service Weapon,,Handgun
20191203WITHM,BB,,Other
20191204NMPIL,Service Weapon,,Handgun
20191210ALDED,Unknown,,Handgun
20191210KSJCK,,,No Data
20191210NJSAJ,Unknown,,Multiple Unknown
20191211INEVE,BB,,Other
20191211KSCHT,BB,,Other
20191213VAMAN,Unknown,,Handgun
20191216CTCAN,Unknown,,Handgun
20191219FLLEN,,,No Data
20191221LAWES,Unknown,,Handgun
20191228MOMAS,,,No Data
20200107WASOK,BB,,Other
20200108FLGLB,Unknown,,Handgun
20200110MSMCJ,BB,,Other
20200111TXELD,Unknown,,Handgun
20200114TXBEH,Unknown,,Handgun
20200114TXPOM,Unknown,,Handgun
20200117MITHH,Unknown,,Handgun
20200117SCCAS,,,No Data
20200119TXNOF,Unknown,,Multiple Handguns
20200121ILLIC,Unknown,,Handgun
20200121NEPAL,BB,,Other
20200123CAOXO,Unknown,,Handgun
20200127WAROY,.22 caliber,,Handgun
20200128NYMAQ,Unknown,,Handgun
20200128TNWHM,Unknown,,Handgun
20200128TXLUL,.357 caliber,,Handgun
20200131CADEA,Unknown,,Handgun
20200201TXHIH,Unknown,,Handgun
20200203FLGEJ,Unknown,,Handgun
20200204LABEA,5.56mm,,Rifle
20200205NHSEC,.38 caliber,,Handgun
20200212MOJOF,Unknown,,Handgun
20200215DCDUW,,,Unknown
20200221NMCEA,,,Unknown
20200302TXNOF,Unknown,,Handgun
20200305FLSAW,Unknown,,Handgun
20200310PASHN,.22 caliber,,Multiple Unknown
20200313TNPIR,Unknown,,Handgun
20200315TXATH,Unknown,,Handgun
20200318LABOS,Unknown,,Handgun
20200324LAROM,Unknown,,Handgun
20200330GANAS,Unknown,,Handgun
20200413NEMOO,Unknown,,Handgun
20200505CAGOV,,,No Data
20200515NCSTC,Unknown,,Handgun
20200519VAWEM,Unknown,,Handgun
20200522OHMIC,,,No Data
20200525ALORM,Unknown,,Handgun
20200527OHLUC,Unknown,,Handgun
20200603IAGAD,,,No Data
20200616FLTOM,,,Multiple Unknown
20200701ILFRP,Unknown,,Handgun
20200704INLAM,Unknown,,Handgun
20200714MIWID,Unknown,,Handgun
20200721SCBRO,,,Handgun
20200727AZCAO,,,Handgun
20200804PAKEP,,,Handgun
20200729ILCOC,,,Handgun
20200817MIABG,,,Handgun
20200825MOWEC,,,Handgun
19850418TNSOS,.45 caliber,,Handgun
20190522OHSAC,,,Handgun
20200830TXLOD,,,Handgun
20200630OHLAW,.223 caliber,AK-47 style rifle,Rifle
20200915UTVIB,,,Shotgun
20200915SCYOR,BB,BB gun,Other
20200921CAPLP,,,Rifle
20200909PAWEW,,,Handgun
20200923FLHIJ,BB,BB gun,Other
20200923PAWIW,,,Handgun
20200924ILMCS,BB,,Other
20200924CAWAC,,,Mulitiple Handguns
20200924CAWAC,,Gold plated AK-47,Multiple Rifles
20200925ILROR,,,Handgun
20190127NVRER,,Stolen.,Handgun
20150521FLDUJ,,,Handgun
20190918MNFOC,,Illegally carried by felon,Handgun
20130131GAPRA,,,Handgun
20201005OKSOM,airsoft,,Other
20201005ARKIH,,,Handgun
20201009FLJEJ,,,Handgun
20201012TXNOD,,,Handgun
20161216FLSAJ,BB,,Other
20190327FLMAJ,BB,,Other
20190927CADER,,,Mulitiple Handguns
20201012MNSHS,,,Shotgun
20201014PABRB,BB,,Other
20201014WAWAS,,,Mulitiple Handguns
20201002PAMAE,BB,,Other
20201020ARJAP,.22 caliber,,Handgun
20160928TNSYP,,,Handgun
20201113NCLIL,9mm,,Handgun
20201116TNWIM,,,Handgun
20201117TXWEW,,,Handgun
20201026GARIR,.38 caliber,,Handgun
20201117MTGRG,BB,,Other
20201124NCHEH,,,Handgun
20201125KSABG,,,Handgun
20201211VATAY,,,Handgun
20201229WAROS,,,Handgun
20210121OHEAC,,,Handgun
20210121OKLOG,,,Handgun
20210127FLHOH,airsoft,Two replica airsoft handguns,Other
20210201MIMUD,,,Handgun
19900906GASOC,.30-06,,Rifle
19900906GASOC,12 gauge,,Shotgun
19900906GASOC,.25 caliber,,Handgun
20201225FLYOP,,,Handgun
20210210NJSCP,,,
20210210TXFOF,,,
20210208MISCG,,,
20210205MDBEM,,,
20210114MDHIW,,,
20210110ILSOS,,,
20210210LASTS,,,
20210214MNROM,,,
20210127MSHAH,,,Handgun
20210216NCTHS,Pellet,,Other
20210217TNKNK,,,
20210219ILLIR,,,
20210222CAHOV,,,
20210224WAGAY,,,Handgun
20210226LAGEN,,,Handgun
20210301ARWAP,.38 caliber,,Handgun
20210308SCEDC,,,Handgun
20210309TNSAK,,,Handgun
20210309OHBIC,,,
20210311OHCIC,,,
20210313TXLEA,null,null,Handgun
20210318KYGRL,null,null,Handgun
20210319WVSPM,BB,null,Other
20210324ORFOS,null,null,Handgun
20180803IALIO,null,null,Handgun
20210326MOCAS,null,null,Handgun
20210327MAPEC,null,null,null
20210401OKCLC,BB,null,Other
20210401ALSES,null,null,Handgun
19790226CABAB,null,Pistol,Handgun
20210104NYPEJ,null,null,Handgun
20210407ILPEP,null,Not loaded,Handgun
20210315INMEM,null,null,Mulitiple Handguns
20210406ILBAC,BB,Assault rifle replica,Other
20210412TNAUK,null,null,null
20210411INBIH,9mm,null,Handgun
20210412CASAS,null,null,Rifle
20210412CASAS,null,null,Handgun
20210413TNMAC,null,null,Handgun
20170415ORMEP,null,null,Handgun
20210418OHWED,null,null,Handgun
20210420TXHAH,null,null,Handgun
20210426MNPLP,null,null,Handgun
20210427TNLAM,null,null,Handgun
20210427DESMS,null,null,Handgun
20210429NYURB,null,null,Mulitiple Handguns
20210429CAVIV,null,null,Handgun
20210430INMAI,null,null,Handgun
20210501MNBES,null,null,Mulitiple Handguns
20210502ILCHC,null,null,Mulitiple Handguns
20210506IDRIR,null,null,Handgun
19890209IDRIR,.22 caliber,null,Handgun
20210506SCFOC,null,Military rifle taken from Army Fort,Rifle
20210505MICRC,null,null,Handgun
20210505SCWAW,null,null,Handgun
20210514CASAS,null,null,Handgun
20210511CAVEL,Pellet,null,Other
20210517TNAUM,null,null,Handgun
20210517MDLOC,null,"One handgun was ""ghost gun""",Mulitiple Handguns
20210511NYPSB,null,null,Handgun
20210525NJPAP,null,"High-powered rifle with pistol grip, scope, extended magazine, and other modifications. ",Rifle
20210601ILLIC,null,null,Handgun
20210606VADRA,null,null,Mulitiple Handguns
20210607TXEAF,null,null,Handgun
20210608KSHAK,null,null,null
20210609TXNOH,null,null,Handgun
20210609VAWIR,null,null,Handgun
20210610CTHOW,.40 caliber,Glock 23 with illegal high capacity magazine,Mulitiple Handguns
20210612MOMCF,null,null,Handgun
20210613PAWIP,null,null,Handgun
20210613PAPAC,null,null,null
20210614TXEAF,null,null,Handgun
20210614NCRJW,null,null,Handgun
20210614NCRJW,.223 caliber,AR-15 style rifle,Rifle
20210614NCROR,null,null,Mulitiple Handguns
20210620CAGRM,Service Weapon,null,Handgun
20210624ILABR,null,null,null
20210608PAMUS,null,null,Handgun
20210628CASLF,null,null,null
20210704NYDRR,null,null,null
20210708ILBEC,null,null,Handgun
20210709KSCAW,null,null,Handgun
20210718ARFOL,null,null,Handgun
20210719TXCAC,BB,Hydroball gun painted black to look realistic,Other
20210721ILTHC,null,null,null
20210727WATYS,null,null,Handgun
20210517TXBRE,BB,null,Other
20210806LASTH,null,null,Handgun
20210807ORGIP,null,null,null
20210805GACHD,null,null,null
20210811COMAC,null,null,null
20210810OHEAC,null,null,Handgun
20210812CANOS,null,null,Handgun
20210812GALIL,Service Weapon,null,Handgun
20210813NMWAA,null,null,Handgun
20210811CAOAO,null,null,Handgun
20210813GACAS,null,null,Handgun
20210814ILMAC,null,null,null
20180425NMHIA,null,null,Handgun
20210814SCDAH,BB,null,Other
20210818SCORO,null,null,Handgun
20210818SCORO,null,null,Handgun
20210815VAROD,null,null,Handgun
20210820NEMIO,null,null,null
20210820CACEF,null,null,Handgun
20210822ILWER,null,null,Handgun
20170813NYHUH,null,null,null
20210901NCMTW,null,null,Handgun
20210830NCNEW,null,null,Handgun
20210827INHAH,null,null,Handgun
